"CurrentName","Voucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID","DNNumber","FieldComments"
"Eucalyptus melliodora x E. sideroxylon","DN 1219","Goolgowi, NSW",87,1996,19,"R87/T19","CCA1505",1219,"east trunk"
"Eucalyptus melliodora x E. sideroxylon","DN 1219","Goolgowi, NSW",87,1996,18,"R87/T18","CCA6869",1219,"west trunk"
"Eucalyptus melliodora x E. sideroxylon","DN 1219","Goolgowi, NSW",87,1996,18,"R87/T18","CCA1504",1219,"east trunk, no seed"
"Eucalyptus melliodora x E. sideroxylon","DN 1219","Goolgowi, NSW",87,1996,21,"R87/T21","CCA6871",1219,"east trunk"
"Eucalyptus melliodora x E. sideroxylon","DN 1219","Goolgowi, NSW",87,1996,21,"R87/T21","CCA1507",1219,"west trunk"
"Eucalyptus melliodora x E. sideroxylon","DN 1219","Goolgowi, NSW",87,1996,19,"R87/T19","CCA6870",1219,"west trunk"
"Eucalyptus camaldulensis subsp. obtusa","DN 2489","Daly Waters, NT",172,1999,15,"R172/T16","CCA3451",2489,"T16 not 15"
"Eucalyptus camaldulensis subsp. obtusa","DN 2489","Daly Waters, NT",172,1999,16,"R172/T17","CCA3452",2489,"T17 not T16"
"Eucalyptus camaldulensis subsp. obtusa","DN 2489","Daly Waters, NT",172,1999,17,"R172/T18","CCA3453",2489,"T17 not T16"
"Eucalyptus camaldulensis subsp. obtusa","DN 2489","Daly Waters, NT",172,1999,18,"R172/T15","CCA3454",2489,"Frameshift, this tree dead. T15’s CCA num was used for T16, and so on for this set of 4 trees."
