CurrentName,Voucher,Provenance,RowNum,YearPlanted,TreeNum,RowTree,FieldID,DNNumber,FieldComments
Eucalyptus leptopoda subsp. elevata,DN 8,"Ilkurlka, WA",9,1993,3,R009/T03,CCA0001,8,NA
Eucalyptus leptopoda subsp. elevata,DN 8,"Ilkurlka, WA",9,1993,4,R009/T04,CCA0002,8,NA
Eucalyptus mannensis subsp. mannensis,-,"Giles, WA",9,1993,5,R009/T05,CCA0003,NA,NA
Eucalyptus gamophylla,-,"Kings Canyon, NT",9,1993,9,R009/T09,CCA0004,NA,NA
Eucalyptus victrix,-,"Gibson Desert, WA",9,1993,14,R009/T14,CCA0005,NA,NA
Eucalyptus populnea subsp. bimbil,-,"Nyngan, NSW",9,1993,15,R009/T15,CCA0006,NA,NA
Eucalyptus populnea subsp. bimbil,-,"Nyngan, NSW",9,1993,16,R009/T16,CCA0007,NA,NA
Eucalyptus populnea subsp. bimbil,-,"Nyngan, NSW",9,1993,17,R009/T17,CCA0008,NA,NA
Eucalyptus populnea subsp. bimbil,-,"Nyngan, NSW",9,1993,18,R009/T18,CCA0009,NA,NA
Eucalyptus yilgarnensis,-,Unknown,9,1993,19,R009/T19,CCA0010,NA,NA
Eucalyptus yilgarnensis,-,Unknown,9,1993,21,R009/T21,CCA0011,NA,NA
Eucalyptus yilgarnensis,-,Unknown,9,1993,22,R009/T22,CCA0012,NA,NA
Eucalyptus glomerosa,-,"Warburton, WA",9,1993,25,R009/T25,CCA0013,NA,NA
Eucalyptus alatissima,DN 7,"Wanna Lakes, WA",9,1993,26,R009/T26,CCA0014,7,NA
Eucalyptus oxymitra,-,"Petermann Ranges, NT",9,1993,28,R009/T28,CCA0015,NA,NA
Eucalyptus socialis subsp. victoriensis,DN 113,"Ooldea Range, SA",9,1993,31,R009/T31,CCA0016,113,NA
Eucalyptus socialis subsp. victoriensis,DN 113,"Ooldea Range, SA",9,1993,32,R009/T32,CCA0017,113,NA
Eucalyptus socialis subsp. victoriensis,DN 113,"Ooldea Range, SA",9,1993,33,R009/T33,CCA0018,113,NA
Eucalyptus socialis subsp. victoriensis,DN 113,"Ooldea Range, SA",9,1993,34,R009/T34,CCA0019,113,NA
Eucalyptus pimpiniana,DN 110,"Ooldea Range, SA",9,1993,35,R009/T35,CCA0020,110,NA
Eucalyptus pimpiniana,DN 110,"Ooldea Range, SA",9,1993,37,R009/T37,CCA0021,110,NA
Eucalyptus suggrandis subsp. promiscua,DN 311,"Dragon Rocks, WA",10,1993,1,R010/T01,CCA0022,311,NA
Eucalyptus suggrandis subsp. promiscua,DN 311,"Dragon Rocks, WA",10,1993,2,R010/T02,CCA0023,311,NA
Eucalyptus suggrandis subsp. promiscua,DN 311,"Dragon Rocks, WA",10,1993,4,R010/T04,CCA0024,311,NA
Eucalyptus ebbanoensis subsp. photina,DN 270,"Mt Michael, WA",10,1993,6,R010/T06,CCA0025,270,NA
Eucalyptus ebbanoensis subsp. photina,DN 270,"Mt Michael, WA",10,1993,7,R010/T07,CCA0026,270,NA
Eucalyptus ebbanoensis subsp. photina,DN 270,"Mt Michael, WA",10,1993,8,R010/T08,CCA0027,270,NA
Eucalyptus leptopoda subsp. arctata,DN 291,"Ballidu, WA",10,1993,11,R010/T11,CCA0028,291,NA
Eucalyptus leptopoda subsp. arctata,DN 291,"Ballidu, WA",10,1993,12,R010/T12,CCA0029,291,NA
Eucalyptus steedmanii,DN 317,"Forrestania, WA",10,1993,13,R010/T13,CCA0030,317,NA
Eucalyptus steedmanii,DN 317,"Forrestania, WA",10,1993,14,R010/T14,CCA0031,317,NA
Eucalyptus steedmanii,DN 317,"Forrestania, WA",10,1993,15,R010/T15,CCA0032,317,NA
Eucalyptus myriadena,DN 316,"Hyden, WA",10,1993,17,R010/T17,CCA0033,316,NA
Eucalyptus myriadena,DN 316,"Hyden, WA",10,1993,18,R010/T18,CCA0034,316,NA
Eucalyptus myriadena,DN 316,"Hyden, WA",10,1993,19,R010/T19,CCA0035,316,NA
Eucalyptus myriadena,DN 316,"Hyden, WA",10,1993,20,R010/T20,CCA0036,316,NA
Eucalyptus ebbanoensis subsp. ebbanoensis,DN 293,"Wongan Hills, WA",10,1993,24,R010/T24,CCA0037,293,NA
