Genus,GenusCommon,Subgenus,SubgenusCommon,Section,SectionCommon,Series,SeriesCommon,Subseries,SubseriesCommon,Species,SpeciesCommon,Subspecies,SubspeciesCommon,NativeRange,DN_Observed,DN_Collected,CCA_Status,Synonyms,CleanedBinomial
Angophora,apples,,,,,'Costatitae' ms,smooth-barked apples,,,Angophora costata,,,,,,,,,Angophora costata
Angophora,apples,,,,,'Costatitae' ms,smooth-barked apples,,,Angophora costata,,subsp. euryphylla,Wollemi apple,NSW,O,C,G(2)m,"A. euryphylla, E. euryphylla",Angophora costata subsp. euryphylla
Angophora,apples,,,,,'Costatitae' ms,smooth-barked apples,,,Angophora costata,,subsp. costata,"smooth-barked apple, rusty gum","NSW,Qld",O,C,G(2)m,E. apocynifolia,Angophora costata subsp. costata
Angophora,apples,,,,,'Costatitae' ms,smooth-barked apples,,,Angophora leiocarpa,smooth-barked apple,,,"Qld,NSW",O,C,G(1),"A. costata subsp. leiocarpa, E. leiocarpa",Angophora leiocarpa
Angophora,apples,,,,,Angophora,rough-barked apples,sub 'Floribundinae' ms,,Angophora bakeri,small-leaved apple,,,NSW,O,C,–,E. angustata,Angophora bakeri
Angophora,apples,,,,,Angophora,rough-barked apples,sub 'Floribundinae' ms,,Angophora paludosa,,,,NSW,O,C,–,"E. palustris, A. bakeri subsp. paludosa",Angophora paludosa
Angophora,apples,,,,,Angophora,rough-barked apples,sub 'Floribundinae' ms,,Angophora woodsiana,smudgy apple,,,"Qld,NSW",O,C,–,E. woodsiana,Angophora woodsiana
Angophora,apples,,,,,Angophora,rough-barked apples,sub 'Floribundinae' ms,,Angophora floribunda,rough-barked apple,,,"NSW,Qld,Vic",O,C,G(1),"A. exsul, E. florida, E. exsul",Angophora floribunda
Angophora,apples,,,,,Angophora,rough-barked apples,sub 'Floribundinae' ms,,?Angophora inopina,Charmhaven apple,,,NSW,O,C,G(1),"Dubious species (possibly = A. crassifolia), E. inopina",Angophora inopina
Angophora,apples,,,,,Angophora,rough-barked apples,sub 'Floribundinae' ms,,Angophora crassifolia,,,,NSW,O,C,–,"A. bakeri subsp. crassifolia, E. crassifolia",Angophora crassifolia
Angophora,apples,,,,,Angophora,rough-barked apples,sub 'Melanoxylon' ms,,Angophora melanoxylon,coolabah apple,,,"NSW,Qld",O,C,G(1),E. melana,Angophora melanoxylon
Angophora,apples,,,,,Angophora,rough-barked apples,sub 'Angophora' ms,,Angophora subvelutina,broad-leaved apple,,,"NSW,Qld",O,C,G(1)m,E. subvelutina,Angophora velutina
