"DNNumber","Date","FieldDetermination","Location","Description","Latitude","Longitude"
1,NA,"Eucalyptus kingsmillii subsp. kingsmillii","South of McPherson's Pillar",NA,-24.5,125.5
2,NA,"Eucalyptus kingsmillii subsp. kingsmillii","South of McPhersons Pillar,  Gibson Desert, WA",NA,-24.5,125.5
3,NA,"Eucalyptus trivalvis","SW of McPhersons' Pillar, Gibson Desert, WA",NA,-24.5,125.333333333333
4,NA,"Eucalyptus kingsmillii subsp. kingsmillii x E. leptopoda?","SW of McPherson's Pillar, Gibson Desert, WA",NA,-24.5,125.333333333333
5,NA,"Eucalyptus kingsmillii subsp. kingsmillii","South of McPherson's Pillar, Gibson Desert, WA",NA,-24.5,125.333333333333
8,NA,"Eucalyptus leptopoda subsp. elevata","40 km east of Neale Junction, Western Australia.","PERTH",NA,NA
17,NA,"Eucalyptus microcarpa (adelaidensis)","Pimpala Conservation Reserve, SA","Naturally occuring Eucalypt in native vegetation area Morphett Vale, South Australia.  Growing in dense A. verticillata forest.  Common slender tree to 10m tall, always single stemmed, but not often over 20cm diametre near base with most leaves on very top of tree, very upright - bark rough grey to grey/brown to about 6cm diametre, leaves dull green.   CANB",-35.1666666666667,138.5
18,NA,"Eucalyptus microcarpa (adelaidensis)","Pimpala Conservation Reserve, SA","Naturally occuring Eucalypt in native vegetation area Morphett Vale, South Australia.  Growing in dense A. verticillata forest.  Crooked tree to 10 metres tall with bark as former.  Very similar to former, but with narrower leaves and slightly less dull leaves. CANB",-35.1666666666667,138.5
19,NA,"Eucalyptus microcarpa (adelaidensis)","Pimpala Conservation Reserve, SA","Naturally occuring Eucalypt in native vegetation area Morphett Vale, South Australia.  Growing in dense A. verticillata forest.  Single stemmed, crooked, small tree - narrow leaved, similar to former.  Abundant fruit on tree. CANB",-35.1666666666667,138.5
20,NA,"Eucalyptus microcarpa (adelaidensis)","Pimpala Conservation Reserve, SA","Naturally occuring Eucalypt in native vegetation area Morphett Vale, South Australia.  Growing in dense A. verticillata forest.  Scattered, but common small tree or rarely mallee.  Usually single stemmed although often almost whipstick tree to 10 metres. Bark rough grey to brown to 5cm diametre.  Leaves glossy, lettuce green occuring at top of trees.   CANB",-35.1666666666667,138.5
21,NA,"Eucalyptus odorata?","Pimpala Conservation Reserve, SA","Naturally occuring Eucalypt in native vegetation area Morphett Vale, South Australia.  Growing in dense A. verticillata forest.  Large, spreading trees to 15m tall and as wide, occuring in a group in only one area.  Bark rough, dark grey to almost black with trunk diametre to almost 1 metre.  Very narrow, dull green leaves on slightly pendulous branchlets.   CANB",-35.1666666666667,138.5
22,NA,"Eucalyptus microcarpa (adelaidensis)","Pimpala Conservation Reserve, SA","Naturally occuring Eucalypt in native vegetation area Morphett Vale, South Australia.  Growing in dense A. verticillata forest.  Small, single stemmed trees to 8 metres tall, similar to Specimen 17, but with darker dark grey bark, lanceolate dark green dull leaves and more robust, although not as tall a tree. CANB",-35.1666666666667,138.5
50,NA,"Eucalyptus porosa","Corunna North, N of Iron Knob SA. Top of hill","Mallee 2-5 metres tall with rough, fibrous, dark brown to grey bark and very glossy dark green leaves. New growth light green. Growing in stony red dust with E. socialis, Acacia spp, and Triodea . CANB",-32.6666666666667,137.083333333333
51,NA,"Eucalyptus socialis subsp. victoriensis","16 km south west of Yardea station on east side of track, Gawler Ranges. SA.","Sprawling mallee to 5 metres tall with rough bark on lower stems and dull light green to blue green leaves. Beginning to flower. Growing on red sand plain with E. porosa",-32.5,135.333333333333
52,NA,"Eucalyptus dumosa","100 metres south of gate, 23km south west of Yardea station, Gawler Ranges. SA.","Large mallee to 6 metres tall with smooth tan over cream bark and dull grey to blue-green leaves. Growing in sand dunes with E. eucentrica, E. incrassata and Hakea spp.",-32.5,135.333333333333
53,NA,"Eucalyptus dumosa","100 metres south of gate, 23km south west of Yardea station, Gawler Ranges. SA.","Large mallee to 6 metres tall with smooth tan over cream bark and dull grey to blue-green leaves. Growing in sand dunes with E. eucentrica, E. incrassata and Hakea spp.",-32.5,135.333333333333
54,NA,"Eucalyptus phenax subsp. phenax","28km south west of Yardea station, Gawler Ranges. SA.","Whipstick mallee 1-3 metres tall with creamy-white smooth bark and narrow, glossy dark green leaves. Growing in dense clumps on slopes of rocky mountain with E. gracilis and E. socialis",-32.5833333333333,135.25
55,NA,"Eucalyptus phenax subsp. phenax","28km south west of Yardea station, Gawler Ranges. SA.","Whipstick mallee 1-3 metres tall with creamy-white smooth bark and glossy dark green leaves. Growing in dense clumps on slopes of rocky mountain with E. gracilis and E. socialis",-32.5833333333333,135.25
56,NA,"Eucalyptus phenax subsp. phenax","28km south west of Yardea station, Gawler Ranges. SA.","Whipstick mallee 1-3 metres tall with creamy-white smooth bark and, glossy light green leaves. Growing in dense clumps on slopes of rocky mountain with E. gracilis and E. socialis",-32.5833333333333,135.25
57,NA,"Eucalyptus lansdowneana","Scrubby Peak, Gawler Ranges, South Australia","Scraggly whipstick mallee to 4 metres tall.  Growing in wetter areas with Dodonea spp.",-32.5833333333333,135.25
58,NA,"Eucalyptus dumosa","North of Yaninee, Eyre Pen. SA.","Mallee to 4 metres tall with smooth grey over white bark and dull grey-green leaves. Growing in mallee scrub with E. oleosa, E. gracilis and E. incrassata.",-32.75,135.25
59,NA,"Eucalyptus incrassata","North track into Bascombe Well Con. Park, Eyre Pen. SA.","Heavy mallee 3-6 metres tall with smooth ribbony grey over cream bark and glossy light green to yellow-green leaves, pith glands present. Growing with E. flocktoniae, E. triangolensis and E. Aff. dumosa",-33.5833333333333,135.583333333333
60,NA,"Eucalyptus trianglensis (SA. E. pileata)","North track into Bascombe Well Con. Park, Eyre Pen. SA.","Spreading mallee to 5 metres tall with smooth brown over grey ribbony bark and glossy green leaves. Growing with E. flocktoniae, E. diversifolia and E. ceratocorys.",-33.5833333333333,135.583333333333
61,NA,"Eucalyptus cretata","Road west of Darke Peak, Eyre Peninsula, SA","Large mallee to 7m tall with smooth grey over whitish bark. Growing in mallee scrub with E. calycogona and E. porosa.",-33.5,136.166666666667
62,NA,"Eucalyptus incrassata","6km east of Carapee Hill, Eyre Peninsula, SA","Low mallee 1.5 - 4m tall with smooth, ribbony grey bark and glossy, dark green leaves. Growing on sand in an area of small salt lakes with Melaleuca uncinata.",-33.4166666666667,136.25
63,NA,"Eucalyptus leptophylla","60km east of Kimba,  Eyre Peninsula, SA","Juveniles from bush fire.",-33.1666666666667,136.75
64,NA,"Eucalyptus gracilis","60km east of Kimba, Eyre Peninsula, SA","Juveniles from bush fire.",-33.1666666666667,136.75
65,1991-10-10,"Eucalyptus socialis subsp. ?","8km north Alawoona on Alawoona to Loxton Road, SA","Mallee 2-5m tall with smooth, grey bark, a little rough dark grey bark at the base and dull to slightly glossy, green to grey-green leaves. Growing in mallee scrub with E. cyanophylla, E. incrassata and E. leptophylla.",-34.6666666666667,140.5
66,1991-10-10,"Eucalyptus socialis subsp. ?","8km north Alawoona on Alawoona to Loxton Road, SA","Mallee 2-5m tall with smooth, grey bark, a little rough dark grey bark at the base and dull to slightly glossy, green to grey-green leaves. Growing in mallee scrub with E. cyanophylla, E. incrassata and E. leptophylla.",-34.6666666666667,140.5
67,1991-10-10,"Eucalyptus porosa x E. socialis","38km north east from Murray Bridge on Murray Bridge to Loxton Road, SA","Mallee 4-7m tall with mostly smooth grey bark with glossy light to dark green leaves. Growing in mallee scrub with E. incrassata, E. leptophylla and Melaleuca lanceolata.",-35.1666666666667,139.583333333333
