"sample_id","plate","well","has_seed"
"blank","CC01","A01","No"
"EmelCSIRO-rep1","CC01","B01","Yes"
"CCA0137","CC01","C01","Yes"
"CCA0164","CC01","D01","No"
"CCA0465","CC01","E01","Yes"
"CCA0218","CC01","F01","Yes"
"CCA0466","CC01","G01","No"
"CCA0525","CC01","H01","Yes"
"CCA0572","CC01","A02","No"
"CCA0650","CC01","B02","No"
"CCA0672","CC01","C02","Yes"
"CCA0677","CC01","D02","Yes"
"CCA0681","CC01","E02","No"
"CCA0684","CC01","F02","No"
"CCA0687","CC01","G02","Yes"
"CCA0691","CC01","H02","No"
"CCA0704-rep1","CC01","A03","Yes"
"CCA0704-rep2","CC01","B03","Yes"
"CCA0705","CC01","C03","No"
"CCA0706","CC01","D03","Yes"
"CCA0708","CC01","E03","No"
"CCA0724","CC01","F03","Yes"
"CCA0728","CC01","G03","Yes"
"CCA0733","CC01","H03","No"
"CCA0743","CC01","A04","Yes"
"CCA0754","CC01","B04","Yes"
"CCA0716","CC01","B04","No"
"CCA0751","CC01","C04","No"
"CCA0755","CC01","D04","No"
"CCA0768","CC01","E04","Yes"
"CCA0790","CC01","F04","No"
"CCA0807","CC01","G04","No"
"CCA0808","CC01","H04","No"
"CCA0819","CC01","A05","Yes"
"CCA0848","CC01","B05","Yes"
"CCA0920","CC01","C05","No"
"CCA0931","CC01","D05","No"
"CCA0933","CC01","E05","No"
"CCA0941","CC01","F05","Yes"
"CCA0951","CC01","G05","Yes"
"CCA0971","CC01","H05","Yes"
"CCA1085","CC01","A06","No"
"CCA1297","CC01","B06","No"
"CCA1300","CC01","C06","No"
"CCA1377","CC01","D06","Yes"
"CCA3005","CC01","E06","No"
"CCA2917","CC01","F06","No"
"CCA1505","CC01","G06","Yes"
"CCA6869","CC01","H06","Yes"
"CCA1504","CC01","A07","No"
"CCA1478","CC01","B07","No"
"CCA1366","CC01","C07","Yes"
"CCA1543","CC01","D07","No"
"CCA6871","CC01","E07","No"
"CCA1507","CC01","F07","Yes"
"CCA6870","CC01","G07","Yes"
"CCA2857","CC01","H07","No"
"CCA1680","CC01","A08","No"
"CCA1657","CC01","B08","Yes"
"CCA1506","CC01","C08","Yes"
"CCA3471","CC01","D08","No"
"CCA3107","CC01","E08","No"
"CCA3130","CC01","F08","No"
"CCA3147","CC01","G08","No"
"CCA3217","CC01","H08","No"
"CCA3035","CC01","A09","Yes"
"CCA3216","CC01","B09","No"
"CCA3062","CC01","C09","No"
"CCA3271","CC01","D09","No"
"CCA3051","CC01","E09","No"
"CCA3092","CC01","F09","Yes"
"CCA3041","CC01","G09","Yes"
"CCA3322","CC01","H09","Yes"
"CCA3841","CC01","A10","Yes"
"CCA3899","CC01","B10","No"
"CCA3837","CC01","C10","No"
"CCA3821","CC01","D10","No"
"CCA3893","CC01","E10","Yes"
"CCA3711","CC01","F10","Yes"
"CCA3887","CC01","G10","Yes"
"CCA4821","CC01","H10","No"
"CCA4706","CC01","A11","No"
"CCA5976","CC01","B11","No"
"CCA4877","CC01","C11","No"
"CCA5060","CC01","D11","No"
"CCA5946","CC01","E11","No"
"CCA5918","CC01","F11","No"
"CCA5597","CC01","G11","No"
"CCA5568","CC01","H11","Yes"
"CCA4960","CC01","A12","No"
"CCA5319","CC01","B12","No"
"CCA5180","CC01","C12","No"
"CCA0455","CC01","D12","No"
"CCA0431","CC01","E12","No"
"CCA0405","CC01","F12","Yes"
"CCA0390","CC01","G12","No"
"CCA0375","CC01","H12","Yes"
"blank","CC02","B01","No"
"EmelCSIRO-rep2","CC02","C01","No"
"CCA0278","CC02","D01","Yes"
"CCA0266","CC02","E01","No"
"CCA0248","CC02","F01","Yes"
"CCA0175","CC02","G01","No"
"CCA0124","CC02","H01","Yes"
"CCA0003","CC02","A02","Yes"
"CCA0016","CC02","B02","No"
"CCA0037","CC02","C02","Yes"
"CCA0038","CC02","D02","Yes"
"CCA0758","CC02","E02","Yes"
"CCA0904","CC02","F02","Yes"
"CCA0937","CC02","G02","No"
"CCA0866","CC02","H02","No"
"CCA0837","CC02","A03","Yes"
"CCA0831","CC02","B03","Yes"
"CCA0761","CC02","C03","No"
"CCA0965","CC02","D03","No"
"CCA0615","CC02","E03","Yes"
"CCA0813","CC02","F03","No"
"CCA0575","CC02","G03","No"
"CCA0800","CC02","H03","Yes"
"CCA0744","CC02","A04","No"
"CCA0773","CC02","B04","No"
"CCA0736","CC02","C04","Yes"
"CCA0700","CC02","D04","Yes"
"CCA0671","CC02","E04","No"
"CCA0695","CC02","F04","Yes"
"CCA0964","CC02","G04","No"
"CCA1037","CC02","H04","Yes"
"CCA1111","CC02","A05","Yes"
"CCA1122","CC02","B05","Yes"
"CCA1135","CC02","C05","No"
"CCA1192","CC02","D05","Yes"
"CCA1212","CC02","E05","Yes"
"CCA1266","CC02","F05","No"
"CCA1256","CC02","G05","Yes"
"CCA1302","CC02","H05","Yes"
"CCA1370","CC02","A06","No"
"CCA1413","CC02","B06","No"
"CCA1439","CC02","C06","No"
"CCA1474","CC02","D06","Yes"
"CCA1564","CC02","E06","No"
"CCA1594","CC02","F06","Yes"
"CCA2829","CC02","G06","No"
"CCA1655","CC02","H06","Yes"
"CCA1654","CC02","A07","Yes"
"CCA1650","CC02","B07","No"
"CCA1644","CC02","C07","No"
"CCA1660","CC02","D07","Yes"
"CCA2812","CC02","E07","No"
"CCA3263","CC02","F07","Yes"
"CCA3261","CC02","G07","No"
"CCA3250","CC02","H07","No"
"CCA3248","CC02","A08","Yes"
"CCA3247","CC02","B08","Yes"
"CCA3176","CC02","C08","No"
"CCA3011","CC02","D08","Yes"
"CCA3012","CC02","E08","Yes"
"CCA2909","CC02","F08","No"
"CCA3464","CC02","G08","No"
"CCA3451","CC02","H08","No"
"CCA6041","CC02","A09","No"
"CCA6033","CC02","B09","No"
"CCA5922","CC02","C09","No"
"CCA5926","CC02","D09","No"
"CCA5615","CC02","E09","No"
"CCA5616","CC02","F09","No"
"CCA5558","CC02","G09","No"
"CCA5430","CC02","H09","Yes"
"CCA5408","CC02","A10","No"
"CCA4957-rep1","CC02","B10","Yes"
"CCA4957-rep2","CC02","A01","Yes"
"CCA4939","CC02","C10","No"
"CCA4776","CC02","D10","No"
"CCA4913","CC02","E10","No"
"CCA4770","CC02","F10","No"
"CCA4557","CC02","G10","Yes"
"CCA3997","CC02","H10","Yes"
"CCA3916","CC02","A11","Yes"
"CCA3651","CC02","B11","No"
